REACTANTS;TYPE; ALPHA;BETA;GAMMA ; NBR;STRINGBR; REF_ALPHA;REF_BETA;REF_GAMMA;REF_BR ; COMMENTS;TIMESTAMP
"ArH+ + C2H4";"kooij";"Logn(1.17e-09,1.15)";"Delta(0)";"Delta(0)";2;"Dirg(0.73<C2H3+ + Ar + H2>,0.27<C2H5+ + Ar>;0.05,0.05)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"ArH+ + C2H6";"kooij";"Logn(1.4e-09,1.15)";"Delta(0)";"Delta(0)";2;"Dirg(0.04<C2H3+ + Ar + H2 + H2>,0.96<C2H5+ + Ar + H2>;0.05,0.05)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"ArH+ + C3H6";"kooij";"Logn(1.2e-09,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.60<C2H3+ + Ar + CH4>,0.40<C3H5+ + Ar + H2>;0.05,0.05)";"Anicich2003";"NA";"NA";"Anicich2003;Smith1976";"NA";2022-08-19 09:23:57
"ArH+ + C6H6";"kooij";"Logn(1.4e-09,1.2)";"Delta(0)";"Delta(0)";3;"Dirg(0.40<C6H5+ + Ar + H2>,0.05<C6H6+ + Ar + H>,0.55<C6H7+ + Ar>;0.05,0.05,0.05)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"ArH+ + CH4";"kooij";"Logn(1.02e-09,1.3)";"Delta(0)";"Delta(0)";1;"CH5+ + Ar";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"ArH+ + H2";"kooij";"Logn(6.3e-10,1.4)";"Delta(0)";"Delta(0)";1;"H3+ + Ar";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"ArH+ + H2O";"kooij";"Logn(2e-09,2)";"Delta(0)";"Delta(0)";1;"H3O+ + Ar";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"ArH+ + N2";"kooij";"Logn(8e-10,1.3)";"Delta(0)";"Delta(0)";1;"N2H+ + Ar";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"ArH+ + NH3";"kooij";"Logn(2.4e-09,1.15)";"Delta(0)";"Delta(0)";2;"Diut(0.00<NH3+ + Ar + H>,0.75<NH4+ + Ar>;0.25,1)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C+ + C2H2";"kooij";"Logn(2.63e-09,1.1)";"Delta(0)";"Delta(0)";1;"C3H+ + H";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C+ + C2H3NH";"kooij";"Logn(8.1e-10,2)";"Delta(-5.0e-01)";"Delta(0)";1;"C2H3+ + HNC";"Quan2016";"Quan2016";"NA";"Quan2016";"NA";2022-08-19 09:23:57
"C+ + C2H4";"kooij";"Logn(1.5e-09,1.3)";"Delta(0)";"Delta(0)";5;"Dirg(0.8000E-01<C2H3+ + CH>,0.1500E+00<C2H4+ + C>,0.6000E-01<C3H+ + H2 + H>,0.2900E+00<C3H2+ + H2>,0.4200E+00<cC3H3+ + H>;0.8000E-01,0.4500E-01,0.6000E-01,0.8700E-01,0.1260E+00)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
