"R1","R2","R3","P1","P2","P3","P4","P5","TYPE","A1","B1","C1","F1","G1","A2","B2","C2","F2","G2","A3","B3","C3","F3","G3","FC","REFS","COMMENTS","TIMESTAMP"
"H","H",,"H2",,,,,"assocMD","9.14e-33","-0.6","0","3.16","100","1e-10","0","0","2","100","0","0","0","30","0","0.6","Tsang1986","k0 from Tsang and Hampson [1986] / k_inf from capture rate theory","2022-08-25 15:28:04"
"H","CH3",,"CH4",,,,,"assocMD","8.9e-29","-1.8","31.8","2","0","3.2e-10","0.133","2.54","1.4","0","1.31e-16","-1.29","19.6","10","0","0.6","Brouard1989;Smith2003;Vuitton2012;Hebrard2013","Brouard et al. [1989] - Smith [2003] - Vuitton et al. [2012] - Hébrard et al. [2013]","2022-08-25 15:27:41"
"H","C2H",,"C2H2",,,,,"assocMD","2.400E-28","-1.800E+00","0.000E+00","1.000E+01","0.000E+00","2.300E-10","0.320E-00","0.000E+00","2.000E+00","0.000E+00","2.100E-16","-1.500E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"k_inf from Harding et al. [2005] - Hébrard et al. [2013]","2022-08-24 10:47:06"
"H","C2H2",,"C2H3",,,,,"assocMD","2.000E-30","-1.070E+00","8.380E+01","3.000E+00","0.000E+00","1.170E-13","8.410E+00","-3.590E+02","1.600E+00","0.000E+00","0.000E+00","0.000E+00","0.000E+00","1.000E+01","0.000E+00","0.24",," Vuitton et al. [2012] with smaller k0 to fit the experimental data from Payne & Stief (1976] and Keil et al. [1976]. Fc = 0.24","2022-08-24 10:47:06"
"H","C2H3",,"C2H4",,,,,"assocMD","0.347E-26","-0.130E+01","0.000E+00","0.400E+01","0.000E+00","1.000E-10","0.000E+00","0.000E+00","0.200E+01","0.000E+00","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Monks et al. [1995] - Klippenstein & Harding [1999]","2022-08-24 10:47:06"
"H","C2H4",,"C2H5",,,,,"assocMD","1.000E-29","-1.510E+00","7.290E+01","3.000E+00","0.000E+00","6.070E-13","5.310E+00","-1.740E+02","1.600E+00","0.000E+00","0.000E+00","0.000E+00","0.000E+00","1.000E+01","0.000E+00","0.64",,"Vuitton et al. [2012] - Michael et al. [1973] with k0 scaled for Fc=0.64","2022-08-24 10:47:06"
"H","C3",,"cC3H",,,,,"assocMD","0.500E-28","-1.800E+00","0.000E+00","1.000E+01","0.000E+00","3.000E-11","0.000E+00","0.000E+00","3.000E+00","0.000E+00","0.500E-16","-1.500E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Hébrard et al. [2013]","2022-08-24 10:47:06"
"H","C3",,"lC3H",,,,,"assocMD","0.500E-28","-1.800E+00","0.000E+00","1.000E+01","0.000E+00","3.000E-11","0.000E+00","0.000E+00","3.000E+00","0.000E+00","0.500E-16","-1.500E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Hébrard et al. [2013]","2022-08-24 10:47:06"
"H","cC3H2",,"C3H3",,,,,"assocMD","8.100E-26","-1.800E+00","0.000E+00","1.000E+01","0.000E+00","2.000E-10","0.000E+00","0.000E+00","3.000E+00","0.000E+00","1.500E-14","-1.500E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Hébrard et al. [2013]","2022-08-24 10:47:06"
"H","C3H3",,"CH3C2H",,,,,"assocMD","3.200E-25","-1.800E+00","0.000E+00","1.000E+01","0.000E+00","2.300E-10","1.500E-01","-4.630E+01","2.000E+00","0.000E+00","4.000E-14","-1.500E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Hébrard et al. [2013]","2022-08-24 10:47:06"
