Lambda Total OH/OH HO2/H
1 2E-22 1.7E-22 3E-23
5 2E-20 1.7E-20 3E-21
10 2E-19 1.7E-19 3E-20
22.6 1.1E-18 9.35E-19 1.65E-19
23.6 6E-20 5.1E-20 9E-21
100 2E-18 1.7E-18 3E-19
200 1E-17 8.5E-18 1.5E-18
300 2E-17 1.7E-17 3E-18
400 2.5E-17 2.125E-17 3.75E-18
500 3E-17 2.55E-17 4.5E-18
600 3.4E-17 2.89E-17 5.1E-18
700 3.5E-17 2.975E-17 5.25E-18
800 3E-17 2.55E-17 4.5E-18
900 2.4E-17 2.04E-17 3.6E-18
1000 1E-17 8.5E-18 1.5E-18
1200 1E-17 8.5E-18 1.5E-18
1250 1E-17 8.5E-18 1.5E-18
1300 9.67E-18 8.2195E-18 1.4505E-18
1350 7.81E-18 6.6385E-18 1.1715E-18
1400 5.58E-18 4.743E-18 8.37E-19
1450 4.28E-18 3.638E-18 6.42E-19
1500 3.72E-18 3.162E-18 5.58E-19
1550 3.53E-18 3.0005E-18 5.295E-19
1600 3.72E-18 3.162E-18 5.58E-19
1650 4.09E-18 3.4765E-18 6.135E-19
1700 3.53E-18 3.0005E-18 5.295E-19
1750 2.05E-18 1.7425E-18 3.075E-19
1800 1.3E-18 1.105E-18 1.95E-19
1850 1.04E-18 8.84E-19 1.56E-19
1900 6.72E-19 5.712E-19 1.008E-19
1950 5.63E-19 4.7855E-19 8.445E-20
2000 4.75E-19 4.0375E-19 7.125E-20
2050 3.98E-19 3.383E-19 5.97E-20
2100 3.49E-19 2.9665E-19 5.235E-20
2150 2.99E-19 2.5415E-19 4.485E-20
2200 2.54E-19 2.159E-19 3.81E-20
2250 2.13E-19 1.8105E-19 3.195E-20
2300 1.79E-19 1.5215E-19 2.685E-20
2350 1.48E-19 1.48E-19 0
2400 1.22E-19 1.22E-19 0
2450 1E-19 1E-19 0
2500 8.3E-20 8.3E-20 0
2550 6.7E-20 6.7E-20 0
2600 5.2E-20 5.2E-20 0
2650 4.2E-20 4.2E-20 0
2700 3.2E-20 3.2E-20 0
2750 2.5E-20 2.5E-20 0
2800 2E-20 2E-20 0
2850 1.5E-20 1.5E-20 0
2900 1.13E-20 1.13E-20 0
2950 8.7E-21 8.7E-21 0
3000 6.6E-21 6.6E-21 0
3050 4.9E-21 4.9E-21 0
3100 3.7E-21 3.7E-21 0
3150 2.8E-21 2.8E-21 0
3200 2E-21 2E-21 0
3250 1.5E-21 1.5E-21 0
3300 1.2E-21 1.2E-21 0
3350 9E-22 9E-22 0
3400 7E-22 7E-22 0
3450 5E-22 5E-22 0
3500 3E-22 3E-22 0
5765 1E-35 1E-35 0
