 Lambda  Total   NH/CO    H/NCO   
    0.6 2.69E-23 1.34E-23 1.34E-23
    1.2 2.64E-22 1.32E-22 1.32E-22
    2.4 2.15E-21 1.07E-21 1.07E-21
    6.2 3.41E-20 1.71E-20 1.71E-20
   12.6 2.54E-19 1.27E-19 1.27E-19
   24.6 7.91E-19 3.95E-19 3.95E-19
   62.1 6.56E-19 3.28E-19 3.28E-19
  121.7 3.01E-18 1.51E-18 1.51E-18
  248.6 1.12E-17 5.60E-18 5.60E-18
  626.8 3.45E-17 1.72E-17 1.72E-17
 1200.0 5.28E-17 2.64E-17 2.64E-17
 1220.0 2.64E-17 1.32E-17 1.32E-17
 1240.0 4.06E-17 2.03E-17 2.03E-17
 1260.0 3.25E-17 1.62E-17 1.62E-17
 1280.0 2.64E-17 1.32E-17 1.32E-17
 1300.0 3.35E-17 1.68E-17 1.68E-17
 1320.0 1.42E-17 7.10E-18 7.10E-18
 1340.0 9.95E-17 4.98E-17 4.98E-17
 1345.0 1.73E-17 8.65E-18 8.65E-18
 1352.0 4.87E-17 2.44E-17 2.44E-17
 1360.0 1.62E-17 8.10E-18 8.10E-18
 1370.0 1.26E-16 6.30E-17 6.30E-17
 1380.0 2.74E-17 1.37E-17 1.37E-17
 1400.0 1.12E-17 5.60E-18 5.60E-18
 1420.0 3.74E-18 1.87E-18 1.87E-18
 1440.0 3.00E-18 1.50E-18 1.50E-18
 1460.0 2.23E-18 1.12E-18 1.12E-18
 1480.0 2.52E-18 1.26E-18 1.26E-18
 1500.0 2.76E-18 1.38E-18 1.38E-18
 1520.0 3.65E-18 1.82E-18 1.82E-18
 1540.0 3.74E-18 1.87E-18 1.87E-18
 1560.0 4.26E-18 2.13E-18 2.13E-18
 1580.0 4.34E-18 2.17E-18 2.17E-18
 1600.0 3.98E-18 1.99E-18 1.99E-18
 1620.0 3.65E-18 1.82E-18 1.82E-18
 1640.0 4.67E-18 2.33E-18 2.33E-18
 1660.0 4.95E-18 2.47E-18 2.47E-18
 1680.0 4.67E-18 2.33E-18 2.33E-18
 1700.0 4.47E-18 2.24E-18 2.24E-18
 1720.0 3.74E-18 1.87E-18 1.87E-18
 1740.0 3.17E-18 1.59E-18 1.59E-18
 1760.0 2.23E-18 1.12E-18 1.12E-18
 1780.0 1.62E-18 8.10E-19 8.10E-19
 1800.0 1.22E-18 6.10E-19 6.10E-19
 1850.0 7.31E-19 3.66E-19 3.66E-19
 1900.0 6.09E-19 3.04E-19 3.04E-19
 1950.0 4.87E-19 2.43E-19 2.43E-19
 2000.0 3.25E-19 1.63E-19 1.63E-19
 2100.0 3.00E-20 1.50E-20 1.50E-20
 2200.0 8.00E-21 4.00E-21 4.00E-21
 2300.0 3.00E-21 1.50E-21 1.50E-21
 2400.0 1.00E-21 5.00E-22 5.00E-22
 2500.0 5.00E-22 2.50E-22 2.50E-22
 2550.0 3.00E-22 3.00E-22 0.00E+00
 3540.0 1.00E-24 1.00E-24 0.00E+00
