 Lambda  Total   SO/O     S/O2     SO2band  SO2+    
    0.6 3.40E-22 0.00E+00 0.00E+00 0.00E+00 3.40E-22
    1.2 2.90E-21 0.00E+00 0.00E+00 0.00E+00 2.90E-21
    2.4 2.00E-20 0.00E+00 0.00E+00 0.00E+00 2.00E-20
    5.0 1.50E-19 0.00E+00 0.00E+00 0.00E+00 1.50E-19
    5.2 3.00E-20 0.00E+00 0.00E+00 0.00E+00 3.00E-20
    6.2 5.50E-20 0.00E+00 0.00E+00 0.00E+00 5.50E-20
   12.6 3.90E-19 0.00E+00 0.00E+00 0.00E+00 3.90E-19
   22.6 1.50E-19 0.00E+00 0.00E+00 0.00E+00 1.50E-19
   23.6 7.00E-19 0.00E+00 0.00E+00 0.00E+00 7.00E-19
   24.6 8.00E-19 0.00E+00 0.00E+00 0.00E+00 8.00E-19
   50.3 4.70E-18 0.00E+00 0.00E+00 0.00E+00 4.70E-18
   52.5 4.70E-18 0.00E+00 0.00E+00 0.00E+00 4.70E-18
   62.1 5.10E-18 0.00E+00 0.00E+00 0.00E+00 5.10E-18
   67.5 6.00E-18 0.00E+00 0.00E+00 0.00E+00 6.00E-18
   70.5 3.40E-18 0.00E+00 0.00E+00 0.00E+00 3.40E-18
   73.5 1.30E-18 0.00E+00 0.00E+00 0.00E+00 1.30E-18
  121.7 3.90E-18 0.00E+00 0.00E+00 0.00E+00 3.90E-18
  200.0 1.00E-17 0.00E+00 0.00E+00 0.00E+00 1.00E-17
  250.0 1.30E-17 0.00E+00 0.00E+00 0.00E+00 1.30E-17
  300.0 1.60E-17 0.00E+00 0.00E+00 0.00E+00 1.60E-17
  350.0 1.75E-17 0.00E+00 0.00E+00 0.00E+00 1.75E-17
  400.0 2.20E-17 0.00E+00 0.00E+00 0.00E+00 2.20E-17
  450.0 2.35E-17 0.00E+00 0.00E+00 0.00E+00 2.35E-17
  500.0 3.00E-17 0.00E+00 0.00E+00 0.00E+00 3.00E-17
  550.0 4.25E-17 0.00E+00 0.00E+00 0.00E+00 4.25E-17
  600.0 5.10E-17 0.00E+00 0.00E+00 0.00E+00 5.10E-17
  650.0 5.50E-17 0.00E+00 0.00E+00 0.00E+00 5.50E-17
  700.0 5.30E-17 0.00E+00 0.00E+00 0.00E+00 5.30E-17
  750.0 4.15E-17 0.00E+00 0.00E+00 0.00E+00 4.15E-17
  800.0 3.40E-17 0.00E+00 0.00E+00 0.00E+00 3.40E-17
  835.0 3.90E-17 0.00E+00 0.00E+00 0.00E+00 3.90E-17
 1065.0 1.97E-17 9.85E-18 9.85E-18 0.00E+00 0.00E+00
 1070.0 1.49E-17 7.45E-18 7.45E-18 0.00E+00 0.00E+00
 1080.0 2.16E-17 1.08E-17 1.08E-17 0.00E+00 0.00E+00
 1085.0 1.23E-17 6.15E-18 6.15E-18 0.00E+00 0.00E+00
 1090.0 1.49E-17 7.45E-18 7.45E-18 0.00E+00 0.00E+00
 1100.0 1.15E-17 5.75E-18 5.75E-18 0.00E+00 0.00E+00
 1108.0 1.86E-17 9.30E-18 9.30E-18 0.00E+00 0.00E+00
 1112.0 1.67E-17 8.35E-18 8.35E-18 0.00E+00 0.00E+00
 1120.0 2.98E-17 1.49E-17 1.49E-17 0.00E+00 0.00E+00
 1125.0 2.60E-17 1.30E-17 1.30E-17 0.00E+00 0.00E+00
 1135.0 4.46E-17 2.23E-17 2.23E-17 0.00E+00 0.00E+00
 1140.0 1.49E-17 7.45E-18 7.45E-18 0.00E+00 0.00E+00
