Lambda  Total   MSS/M    2(CH3S) 
    0.6 1.00E-21 5.00E-22 5.00E-22
    1.2 7.00E-21 3.50E-21 3.50E-21
    2.4 5.00E-20 2.50E-20 2.50E-20
    5.0 3.00E-19 1.50E-19 1.50E-19
    5.2 4.00E-20 2.00E-20 2.00E-20
    6.2 6.00E-20 3.00E-20 3.00E-20
   12.6 4.00E-19 2.00E-19 2.00E-19
   24.6 2.00E-18 1.00E-18 1.00E-18
   50.3 1.00E-17 5.00E-18 5.00E-18
   52.5 1.00E-17 5.00E-18 5.00E-18
   62.1 1.10E-17 5.50E-18 5.50E-18
   67.5 1.50E-17 7.50E-18 7.50E-18
   70.5 7.00E-17 3.50E-17 3.50E-17
   73.5 1.00E-18 5.00E-19 5.00E-19
  122.0 2.00E-18 1.00E-18 1.00E-18
  249.0 5.00E-18 2.50E-18 2.50E-18
  363.0 2.40E-17 1.20E-17 1.20E-17
  508.0 5.70E-17 2.85E-17 2.85E-17
  553.0 6.40E-17 3.20E-17 3.20E-17
 1100.0 4.80E-17 2.40E-17 2.40E-17
 2000.0 1.30E-17 6.50E-18 6.50E-18
 2100.0 5.30E-18 2.65E-18 2.65E-18
 2200.0 1.30E-18 6.50E-19 6.50E-19
 2300.0 8.00E-19 4.00E-19 4.00E-19
 2400.0 1.00E-18 5.00E-19 5.00E-19
 2500.0 1.20E-18 6.00E-19 6.00E-19
 2600.0 1.00E-18 5.00E-19 5.00E-19
 2700.0 8.00E-19 4.00E-19 4.00E-19
 2800.0 5.00E-19 2.50E-19 2.50E-19
 2900.0 3.00E-19 1.50E-19 1.50E-19
 3000.0 1.50E-19 7.50E-20 7.50E-20
 3100.0 6.00E-20 3.00E-20 3.00E-20
 3870.0 1.00E-20 5.00E-21 5.00E-21
 3871.0 1.00E-20 1.00E-20 0.00E+00
 4940.0 1.00E-24 1.00E-24 0.00E+00
