 Lambda  Total   C+S2     S+CS     CS+S     S2+C     CS2+     CS/S     CS/S1D   tCS/S    A1CS/S  
    0.6 6.30E-22 2.52E-23 2.52E-22 1.57E-22 6.30E-24 1.89E-22 0.00E+00 0.00E+00 0.00E+00 0.00E+00
    1.2 5.70E-21 2.28E-22 2.28E-21 1.42E-21 5.70E-23 1.71E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00
    2.4 3.60E-20 1.44E-21 1.44E-20 8.99E-21 3.60E-22 1.08E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00
    5.0 2.60E-19 1.04E-20 1.04E-19 6.49E-20 2.60E-21 7.84E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00
    5.2 2.70E-20 1.08E-21 1.08E-20 6.73E-21 2.70E-22 8.15E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00
    6.2 4.40E-20 1.75E-21 1.75E-20 1.10E-20 4.40E-22 1.33E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   12.6 3.10E-19 1.23E-20 1.23E-19 7.70E-20 3.09E-21 9.45E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   24.6 1.70E-18 6.70E-20 6.70E-19 4.20E-19 1.69E-20 5.26E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   40.8 5.00E-18 1.95E-19 1.95E-18 1.22E-18 4.97E-20 1.58E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   42.5 4.00E-18 1.56E-19 1.56E-18 9.79E-19 3.97E-20 1.27E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   50.3 7.00E-18 2.72E-19 2.72E-18 1.71E-18 6.94E-20 2.24E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   52.5 6.60E-18 2.56E-19 2.56E-18 1.61E-18 6.54E-20 2.11E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   62.1 8.90E-18 3.43E-19 3.43E-18 2.16E-18 8.81E-20 2.88E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   67.5 1.10E-17 4.22E-19 4.22E-18 2.66E-18 1.09E-19 3.59E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   70.5 5.00E-18 1.92E-19 1.92E-18 1.21E-18 4.94E-20 1.64E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   73.5 8.00E-19 3.06E-20 3.06E-19 1.93E-19 7.91E-21 2.63E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  121.7 1.90E-18 7.04E-20 7.05E-19 4.46E-19 1.86E-20 6.60E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  248.6 3.70E-18 1.26E-19 1.26E-18 8.09E-19 3.55E-20 1.47E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  310.0 5.01E-20 1.63E-21 1.63E-20 1.06E-20 4.76E-22 2.11E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  318.0 4.56E-20 1.34E-21 1.43E-20 9.53E-21 3.82E-22 2.00E-20 0.00E+00 0.00E+00 0.00E+00 1.50E-23
  326.0 5.92E-20 1.62E-21 1.81E-20 1.14E-20 5.70E-22 2.75E-20 0.00E+00 0.00E+00 0.00E+00 4.14E-24
  335.0 6.01E-20 1.89E-21 1.80E-20 1.14E-20 4.73E-22 2.84E-20 0.00E+00 0.00E+00 0.00E+00 3.79E-23
  344.0 5.19E-20 1.79E-21 1.51E-20 8.98E-21 5.66E-22 2.54E-20 0.00E+00 0.00E+00 0.00E+00 3.11E-23
  354.0 6.47E-20 1.78E-21 1.80E-20 1.04E-20 4.73E-22 3.40E-20 0.00E+00 0.00E+00 0.00E+00 1.23E-23
  365.0 7.29E-20 2.26E-21 1.91E-20 1.14E-20 8.75E-22 3.92E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  376.0 8.20E-20 2.86E-21 2.00E-20 1.24E-20 8.61E-22 4.58E-20 0.00E+00 0.00E+00 0.00E+00 4.92E-23
  387.0 8.38E-20 2.68E-21 2.01E-20 1.24E-20 7.54E-22 4.78E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  400.0 9.39E-20 3.07E-21 2.19E-20 1.40E-20 6.51E-22 5.39E-20 0.00E+00 0.00E+00 0.00E+00 4.10E-22
  413.0 1.08E-19 3.14E-21 2.42E-20 1.59E-20 1.49E-21 6.33E-20 0.00E+00 0.00E+00 0.00E+00 1.08E-23
  428.0 1.19E-19 3.59E-21 2.58E-20 1.75E-20 1.07E-21 7.09E-20 0.00E+00 0.00E+00 0.00E+00 9.52E-23
  443.0 1.53E-19 4.28E-21 3.01E-20 2.37E-20 1.53E-21 9.33E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  459.0 1.60E-19 3.20E-21 2.93E-20 2.56E-20 1.76E-21 1.00E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  477.0 1.90E-19 2.81E-21 3.17E-20 3.10E-20 2.64E-21 1.22E-19 0.00E+00 0.00E+00 0.00E+00 5.70E-23
  496.0 2.19E-19 2.01E-21 3.29E-20 3.81E-20 2.83E-21 1.43E-19 0.00E+00 0.00E+00 0.00E+00 2.04E-22
  517.0 2.47E-19 2.96E-21 3.24E-20 4.25E-20 2.89E-21 1.66E-19 0.00E+00 0.00E+00 0.00E+00 3.21E-22
  539.0 2.82E-19 5.47E-22 3.10E-20 4.82E-20 3.92E-21 1.98E-19 0.00E+00 0.00E+00 0.00E+00 4.51E-23
  564.0 3.26E-19 0.00E+00 3.10E-20 5.28E-20 4.92E-21 2.37E-19 0.00E+00 0.00E+00 0.00E+00 2.28E-22
  590.0 3.85E-19 3.47E-22 3.55E-20 5.81E-20 5.74E-21 2.85E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  620.0 4.21E-19 0.00E+00 3.66E-20 6.57E-20 5.05E-21 3.14E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  653.0 4.53E-19 9.11E-22 3.64E-20 5.53E-20 4.10E-21 3.56E-19 0.00E+00 0.00E+00 0.00E+00 7.47E-22
  689.0 5.06E-19 0.00E+00 4.28E-20 5.21E-20 1.55E-21 4.09E-19 0.00E+00 0.00E+00 0.00E+00 2.23E-22
  729.0 5.40E-19 0.00E+00 4.56E-20 3.91E-20 0.00E+00 4.54E-19 0.00E+00 0.00E+00 0.00E+00 1.62E-21
  775.0 5.47E-19 0.00E+00 2.64E-20 0.00E+00 0.00E+00 5.10E-19 0.00E+00 0.00E+00 0.00E+00 1.02E-20
  827.0 4.77E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.72E-19 0.00E+00 0.00E+00 0.00E+00 4.77E-21
  886.0 4.18E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.18E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  954.0 3.82E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.82E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1060.0 5.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.08E-17 0.00E+00 0.00E+00 0.00E+00 1.92E-17
 1070.0 4.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.61E-17 0.00E+00 0.00E+00 0.00E+00 1.89E-17
 1080.0 4.40E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.39E-17 0.00E+00 0.00E+00 0.00E+00 2.01E-17
 1090.0 5.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.54E-17 0.00E+00 0.00E+00 0.00E+00 2.46E-17
 1100.0 4.80E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.26E-17 0.00E+00 0.00E+00 0.00E+00 2.54E-17
 1110.0 7.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.26E-17 0.00E+00 0.00E+00 0.00E+00 4.24E-17
 1118.0 2.10E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.52E-17 0.00E+00 0.00E+00 0.00E+00 1.25E-16
 1120.0 9.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.59E-17 0.00E+00 0.00E+00 0.00E+00 5.41E-17
 1130.0 2.80E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.01E-17 0.00E+00 0.00E+00 0.00E+00 1.79E-17
 1140.0 2.70E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.80E-18 0.00E+00 0.00E+00 0.00E+00 1.82E-17
 1150.0 2.90E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.41E-18 0.00E+00 0.00E+00 0.00E+00 2.06E-17
 1160.0 3.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.61E-18 0.00E+00 0.00E+00 0.00E+00 2.24E-17
 1170.0 3.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.52E-18 0.00E+00 0.00E+00 0.00E+00 2.35E-17
 1180.0 2.90E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.25E-18 0.00E+00 0.00E+00 0.00E+00 2.37E-17
 1190.0 2.80E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.06E-18 0.00E+00 0.00E+00 0.00E+00 2.39E-17
 1200.0 2.20E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.39E-18 0.00E+00 0.00E+00 0.00E+00 1.96E-17
 1210.0 1.80E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.30E-18 0.00E+00 0.00E+00 0.00E+00 1.67E-17
 1220.0 1.30E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.71E-19 0.00E+00 0.00E+00 0.00E+00 1.25E-17
 1230.0 1.40E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.00E-18 7.00E-18
 1240.0 1.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.50E-18 7.50E-18
 1250.0 1.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.50E-18 7.50E-18
 1252.0 2.70E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.35E-17 1.35E-17
 1256.0 1.20E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.00E-18 6.00E-18
 1260.0 2.80E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.40E-17 1.40E-17
 1262.0 1.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.50E-18 7.50E-18
 1267.0 2.60E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.30E-17 1.30E-17
 1270.0 1.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.50E-18 7.50E-18
 1275.0 3.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.50E-17 1.50E-17
 1280.0 5.30E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.65E-17 2.65E-17
 1282.0 2.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-17 1.00E-17
 1288.0 5.80E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.90E-17 2.90E-17
 1292.0 3.20E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.60E-17 1.60E-17
 1300.0 7.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.50E-17 3.50E-17
 1310.0 7.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.75E-17 3.75E-17
 1313.0 4.40E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.20E-17 2.20E-17
 1320.0 6.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.00E-17 3.00E-17
 1330.0 2.20E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.10E-17 1.10E-17
 1338.0 7.00E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.00E-18 0.00E+00
 1345.0 4.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.50E-17 0.00E+00
 1350.0 1.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-17 0.00E+00
 1360.0 5.00E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.00E-18 0.00E+00
 1370.0 5.20E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.20E-17 0.00E+00
 1380.0 1.80E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.80E-17 0.00E+00
 1390.0 5.00E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.00E-18 0.00E+00
 1402.0 3.40E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.40E-17 0.00E+00
 1405.0 2.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.00E-17 0.00E+00
 1412.0 1.22E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.22E-16 0.00E+00
 1420.0 1.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.50E-17 0.00E+00
 1430.0 2.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.50E-17 0.00E+00
 1440.0 3.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.00E-17 0.00E+00
 1450.0 1.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-17 0.00E+00
 1460.0 7.00E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.00E-18 0.00E+00
 1470.0 1.50E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.50E-18 0.00E+00
 1480.0 2.20E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.20E-17 0.00E+00
 1485.0 3.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.00E-17 0.00E+00
 1494.0 2.20E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.20E-17 0.00E+00
 1500.0 3.20E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.20E-17 0.00E+00
 1502.0 2.40E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.40E-17 0.00E+00
 1507.0 4.20E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.20E-17 0.00E+00
 1510.0 3.20E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.20E-17 0.00E+00
 1512.0 5.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.00E-17 0.00E+00
 1520.0 2.80E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.80E-17 0.00E+00
 1570.0 5.00E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.00E-19 0.00E+00
 1572.0 5.00E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.34E-19 1.67E-19 0.00E+00 0.00E+00
 1680.0 1.00E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.67E-20 3.33E-20 0.00E+00 0.00E+00
 1850.0 2.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.33E-17 6.66E-18 0.00E+00 0.00E+00
 1870.0 2.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.33E-17 6.66E-18 0.00E+00 0.00E+00
 1880.0 4.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.67E-17 1.33E-17 0.00E+00 0.00E+00
 1885.0 2.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.33E-17 6.66E-18 0.00E+00 0.00E+00
 1890.0 5.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.34E-17 1.66E-17 0.00E+00 0.00E+00
 1892.0 8.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.34E-17 2.66E-17 0.00E+00 0.00E+00
 1895.0 4.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.00E-17 1.50E-17 0.00E+00 0.00E+00
 1900.0 5.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.34E-17 1.66E-17 0.00E+00 0.00E+00
 1905.0 1.10E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.34E-17 3.66E-17 0.00E+00 0.00E+00
 1912.0 6.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.00E-17 2.00E-17 0.00E+00 0.00E+00
 1915.0 1.40E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.34E-17 4.66E-17 0.00E+00 0.00E+00
 1920.0 1.80E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.20E-16 5.99E-17 0.00E+00 0.00E+00
 1922.0 9.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.34E-17 3.16E-17 0.00E+00 0.00E+00
 1927.0 1.20E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.00E-17 4.00E-17 0.00E+00 0.00E+00
 1930.0 2.60E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.73E-16 8.66E-17 0.00E+00 0.00E+00
 1932.0 2.20E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.47E-16 7.33E-17 0.00E+00 0.00E+00
 1935.0 1.20E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.00E-17 4.00E-17 0.00E+00 0.00E+00
 1940.0 1.40E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.34E-17 4.66E-17 0.00E+00 0.00E+00
 1945.0 1.50E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-16 5.00E-17 0.00E+00 0.00E+00
 1950.0 3.80E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.53E-16 1.27E-16 0.00E+00 0.00E+00
