# Correct a typo at Lambda = 2540 & 2965
 Lambda  Total   MS/H     M/SH    
    0.6 3.30E-22 8.25E-23 2.48E-22
    1.2 2.70E-21 6.75E-22 2.02E-21
    2.4 1.90E-20 4.75E-21 1.42E-20
    5.0 1.20E-19 3.01E-20 8.99E-20
    5.2 1.50E-19 3.76E-20 1.12E-19
    6.2 2.20E-19 5.52E-20 1.65E-19
   12.6 1.30E-19 3.27E-20 9.73E-20
   24.6 1.00E-18 2.53E-19 7.47E-19
   50.3 3.50E-18 8.97E-19 2.60E-18
   52.5 3.40E-18 8.72E-19 2.53E-18
   62.1 4.50E-18 1.16E-18 3.34E-18
   67.5 5.30E-18 1.37E-18 3.93E-18
   70.5 2.60E-18 6.73E-19 1.93E-18
   73.5 4.00E-19 1.04E-19 2.96E-19
  122.0 1.10E-18 2.92E-19 8.08E-19
  249.0 2.60E-18 7.30E-19 1.87E-18
  363.0 1.25E-17 3.69E-18 8.81E-18
  508.0 3.00E-17 9.39E-18 2.06E-17
  553.0 3.35E-17 1.07E-17 2.28E-17
 1100.0 2.41E-17 9.32E-18 1.48E-17
 1925.0 2.17E-18 1.06E-18 1.11E-18
 1930.0 2.09E-18 1.02E-18 1.07E-18
 1935.0 2.22E-18 1.11E-18 1.11E-18
 1940.0 2.46E-18 1.24E-18 1.22E-18
 1945.0 2.69E-18 1.38E-18 1.31E-18
 1950.0 2.98E-18 1.55E-18 1.43E-18
 1955.0 3.28E-18 1.74E-18 1.54E-18
 1960.0 3.54E-18 1.90E-18 1.64E-18
 1965.0 3.82E-18 2.08E-18 1.74E-18
 1970.0 4.15E-18 2.30E-18 1.85E-18
 1975.0 4.53E-18 2.54E-18 1.99E-18
 1980.0 4.90E-18 2.79E-18 2.11E-18
 1985.0 5.29E-18 3.05E-18 2.24E-18
 1990.0 5.67E-18 3.32E-18 2.35E-18
 1995.0 6.10E-18 3.62E-18 2.48E-18
 2000.0 6.49E-18 3.90E-18 2.59E-18
 2005.0 6.86E-18 4.18E-18 2.68E-18
 2010.0 7.24E-18 4.47E-18 2.77E-18
 2015.0 7.57E-18 4.73E-18 2.84E-18
 2020.0 7.89E-18 4.99E-18 2.90E-18
 2025.0 8.13E-18 5.21E-18 2.92E-18
 2030.0 8.33E-18 5.40E-18 2.93E-18
 2035.0 8.46E-18 5.55E-18 2.91E-18
 2040.0 8.49E-18 5.64E-18 2.85E-18
 2045.0 8.45E-18 5.68E-18 2.77E-18
 2050.0 8.33E-18 5.67E-18 2.66E-18
 2055.0 8.12E-18 5.59E-18 2.53E-18
 2060.0 7.83E-18 5.45E-18 2.38E-18
 2065.0 7.48E-18 5.27E-18 2.21E-18
 2070.0 7.08E-18 5.04E-18 2.04E-18
 2075.0 6.60E-18 4.75E-18 1.85E-18
 2080.0 6.12E-18 4.45E-18 1.67E-18
 2085.0 5.61E-18 4.13E-18 1.48E-18
 2090.0 5.06E-18 3.76E-18 1.30E-18
 2095.0 4.55E-18 3.42E-18 1.13E-18
 2100.0 4.04E-18 3.07E-18 9.71E-19
 2105.0 3.57E-18 2.74E-18 8.30E-19
 2110.0 3.10E-18 2.40E-18 6.96E-19
 2115.0 2.72E-18 2.13E-18 5.89E-19
 2120.0 2.35E-18 1.86E-18 4.90E-19
 2125.0 2.05E-18 1.64E-18 4.11E-19
 2130.0 1.79E-18 1.44E-18 3.45E-19
 2135.0 1.56E-18 1.27E-18 2.88E-19
 2140.0 1.38E-18 1.14E-18 2.44E-19
 2145.0 1.22E-18 1.01E-18 2.06E-19
 2150.0 1.10E-18 9.23E-19 1.77E-19
 2155.0 9.96E-19 8.44E-19 1.52E-19
 2160.0 9.23E-19 7.89E-19 1.34E-19
 2165.0 8.62E-19 7.44E-19 1.18E-19
 2170.0 8.12E-19 7.07E-19 1.05E-19
 2175.0 7.72E-19 6.78E-19 9.37E-20
 2180.0 7.43E-19 6.59E-19 8.43E-20
 2185.0 7.19E-19 6.43E-19 7.59E-20
 2190.0 7.00E-19 6.32E-19 6.83E-20
 2195.0 6.85E-19 6.24E-19 6.14E-20
 2200.0 6.75E-19 6.20E-19 5.52E-20
 2205.0 6.68E-19 6.19E-19 4.93E-20
 2210.0 6.62E-19 6.18E-19 4.36E-20
 2215.0 6.59E-19 6.21E-19 3.82E-20
 2220.0 6.56E-19 6.23E-19 3.28E-20
 2230.0 6.55E-19 6.23E-19 3.17E-20
 2235.0 6.56E-19 6.25E-19 3.13E-20
 2240.0 6.55E-19 6.24E-19 3.07E-20
 2245.0 6.57E-19 6.27E-19 3.03E-20
 2250.0 6.61E-19 6.31E-19 3.00E-20
 2255.0 6.62E-19 6.33E-19 2.95E-20
 2260.0 6.64E-19 6.35E-19 2.91E-20
 2265.0 6.66E-19 6.37E-19 2.86E-20
 2270.0 6.68E-19 6.40E-19 2.82E-20
 2275.0 6.71E-19 6.43E-19 2.78E-20
 2280.0 6.73E-19 6.46E-19 2.73E-20
 2285.0 6.74E-19 6.47E-19 2.69E-20
 2290.0 6.77E-19 6.51E-19 2.64E-20
 2295.0 6.75E-19 6.49E-19 2.58E-20
 2300.0 6.78E-19 6.53E-19 2.54E-20
 2305.0 6.79E-19 6.54E-19 2.49E-20
 2310.0 6.78E-19 6.54E-19 2.44E-20
 2315.0 6.77E-19 6.53E-19 2.38E-20
 2320.0 6.75E-19 6.52E-19 2.32E-20
 2325.0 6.73E-19 6.50E-19 2.26E-20
 2330.0 6.72E-19 6.50E-19 2.21E-20
 2335.0 6.69E-19 6.48E-19 2.14E-20
 2340.0 6.64E-19 6.43E-19 2.07E-20
 2345.0 6.59E-19 6.39E-19 2.01E-20
 2350.0 6.53E-19 6.34E-19 1.94E-20
 2355.0 6.47E-19 6.28E-19 1.87E-20
 2360.0 6.41E-19 6.23E-19 1.80E-20
 2365.0 6.45E-19 6.27E-19 1.76E-20
 2370.0 6.25E-19 6.08E-19 1.66E-20
 2375.0 6.17E-19 6.01E-19 1.59E-20
 2380.0 6.09E-19 5.94E-19 1.52E-20
 2385.0 5.99E-19 5.84E-19 1.45E-20
 2390.0 5.85E-19 5.71E-19 1.37E-20
 2395.0 5.74E-19 5.61E-19 1.30E-20
 2400.0 5.62E-19 5.50E-19 1.23E-20
 2405.0 5.51E-19 5.39E-19 1.16E-20
 2410.0 5.41E-19 5.30E-19 1.10E-20
 2415.0 5.27E-19 5.17E-19 1.03E-20
 2420.0 5.15E-19 5.05E-19 9.66E-21
 2425.0 5.02E-19 4.93E-19 9.02E-21
 2430.0 4.89E-19 4.81E-19 8.40E-21
 2435.0 4.77E-19 4.69E-19 7.83E-21
 2440.0 4.62E-19 4.55E-19 7.22E-21
 2445.0 4.47E-19 4.40E-19 6.64E-21
 2450.0 4.34E-19 4.28E-19 6.10E-21
 2455.0 4.19E-19 4.13E-19 5.56E-21
 2460.0 4.05E-19 4.00E-19 5.06E-21
 2465.0 3.93E-19 3.88E-19 4.61E-21
 2470.0 3.75E-19 3.71E-19 4.10E-21
 2475.0 3.61E-19 3.57E-19 3.67E-21
 2480.0 3.51E-19 3.48E-19 3.29E-21
 2485.0 3.39E-19 3.36E-19 2.91E-21
 2490.0 3.23E-19 3.20E-19 2.52E-21
 2495.0 3.12E-19 3.10E-19 2.19E-21
 2500.0 2.98E-19 2.96E-19 1.86E-21
 2505.0 2.86E-19 2.84E-19 1.56E-21
 2510.0 2.74E-19 2.73E-19 1.28E-21
 2515.0 2.62E-19 2.61E-19 1.02E-21
 2520.0 2.49E-19 2.48E-19 7.78E-22
 2525.0 2.38E-19 2.37E-19 5.58E-22
 2530.0 2.25E-19 2.25E-19 3.52E-22
 2535.0 2.15E-19 2.15E-19 1.68E-22
 2540.0 2.04E-19 0.00E+00 2.04E-19
 2545.0 1.93E-19 0.00E+00 1.93E-19
 2550.0 1.83E-19 0.00E+00 1.83E-19
 2555.0 1.73E-19 0.00E+00 1.73E-19
 2560.0 1.63E-19 0.00E+00 1.63E-19
 2565.0 1.54E-19 0.00E+00 1.54E-19
 2570.0 1.45E-19 0.00E+00 1.45E-19
 2575.0 1.36E-19 0.00E+00 1.36E-19
 2580.0 1.28E-19 0.00E+00 1.28E-19
 2585.0 1.21E-19 0.00E+00 1.21E-19
 2590.0 1.13E-19 0.00E+00 1.13E-19
 2595.0 1.05E-19 0.00E+00 1.05E-19
 2600.0 9.82E-20 0.00E+00 9.82E-20
 2605.0 9.18E-20 0.00E+00 9.18E-20
 2610.0 8.55E-20 0.00E+00 8.55E-20
 2615.0 7.94E-20 0.00E+00 7.94E-20
 2620.0 7.39E-20 0.00E+00 7.39E-20
 2625.0 6.85E-20 0.00E+00 6.85E-20
 2630.0 6.36E-20 0.00E+00 6.36E-20
 2635.0 5.87E-20 0.00E+00 5.87E-20
 2640.0 5.41E-20 0.00E+00 5.41E-20
 2645.0 5.03E-20 0.00E+00 5.03E-20
 2650.0 4.65E-20 0.00E+00 4.65E-20
 2655.0 4.29E-20 0.00E+00 4.29E-20
 2660.0 3.95E-20 0.00E+00 3.95E-20
 2665.0 3.63E-20 0.00E+00 3.63E-20
 2670.0 3.31E-20 0.00E+00 3.31E-20
 2675.0 2.99E-20 0.00E+00 2.99E-20
 2680.0 2.78E-20 0.00E+00 2.78E-20
 2685.0 2.51E-20 0.00E+00 2.51E-20
 2690.0 2.30E-20 0.00E+00 2.30E-20
 2695.0 2.13E-20 0.00E+00 2.13E-20
 2700.0 1.92E-20 0.00E+00 1.92E-20
 2705.0 1.75E-20 0.00E+00 1.75E-20
 2710.0 1.59E-20 0.00E+00 1.59E-20
 2715.0 1.43E-20 0.00E+00 1.43E-20
 2720.0 1.30E-20 0.00E+00 1.30E-20
 2725.0 1.18E-20 0.00E+00 1.18E-20
 2730.0 1.08E-20 0.00E+00 1.08E-20
 2735.0 9.77E-21 0.00E+00 9.77E-21
 2740.0 8.85E-21 0.00E+00 8.85E-21
 2745.0 7.90E-21 0.00E+00 7.90E-21
 2750.0 7.15E-21 0.00E+00 7.15E-21
