 Lambda  Total   HS/H     H2S+     S+H2     HS+H    
    0.6 3.10E-22 0.00E+00 0.00E+00 1.55E-22 1.55E-22
    1.2 2.60E-21 0.00E+00 0.00E+00 1.30E-21 1.30E-21
    2.4 1.80E-20 0.00E+00 0.00E+00 9.00E-21 9.00E-21
    5.0 1.20E-19 0.00E+00 0.00E+00 6.00E-20 6.00E-20
    5.2 1.20E-20 0.00E+00 0.00E+00 6.00E-21 6.00E-21
    6.2 1.90E-20 0.00E+00 0.00E+00 9.50E-21 9.50E-21
   12.6 1.30E-19 0.00E+00 0.00E+00 6.50E-20 6.50E-20
   24.6 7.30E-19 0.00E+00 0.00E+00 3.65E-19 3.65E-19
   50.3 3.50E-18 0.00E+00 0.00E+00 1.75E-18 1.75E-18
   56.9 3.30E-18 0.00E+00 0.00E+00 1.65E-18 1.65E-18
   62.1 4.40E-18 0.00E+00 0.00E+00 2.20E-18 2.20E-18
   70.4 2.50E-18 0.00E+00 0.00E+00 1.25E-18 1.25E-18
   73.5 3.20E-19 0.00E+00 0.00E+00 1.60E-19 1.60E-19
  122.0 7.20E-19 0.00E+00 0.00E+00 3.60E-19 3.60E-19
  249.0 1.20E-18 0.00E+00 0.00E+00 6.00E-19 6.00E-19
  487.0 5.50E-18 0.00E+00 0.00E+00 2.75E-18 2.75E-18
  508.0 6.50E-18 0.00E+00 0.00E+00 3.25E-18 3.25E-18
  536.0 7.50E-18 0.00E+00 0.00E+00 3.75E-18 3.75E-18
  553.0 9.00E-18 0.00E+00 0.00E+00 4.50E-18 4.50E-18
  770.0 2.00E-17 0.00E+00 0.00E+00 1.00E-17 1.00E-17
  867.0 2.50E-17 0.00E+00 1.25E-17 1.25E-17 0.00E+00
  927.0 3.00E-17 9.00E-18 2.10E-17 0.00E+00 0.00E+00
 1060.0 4.20E-17 1.60E-17 2.60E-17 0.00E+00 0.00E+00
 1068.0 4.75E-17 1.85E-17 2.90E-17 0.00E+00 0.00E+00
 1072.0 4.40E-17 1.89E-17 2.51E-17 0.00E+00 0.00E+00
 1080.0 4.80E-17 2.11E-17 2.69E-17 0.00E+00 0.00E+00
 1085.0 4.30E-17 1.81E-17 2.49E-17 0.00E+00 0.00E+00
 1090.0 4.60E-17 2.12E-17 2.48E-17 0.00E+00 0.00E+00
 1097.0 4.10E-17 1.80E-17 2.30E-17 0.00E+00 0.00E+00
 1102.0 5.00E-17 2.30E-17 2.70E-17 0.00E+00 0.00E+00
 1115.0 4.50E-17 2.29E-17 2.20E-17 0.00E+00 0.00E+00
 1130.0 3.60E-17 1.91E-17 1.69E-17 0.00E+00 0.00E+00
 1133.0 3.90E-17 2.11E-17 1.79E-17 0.00E+00 0.00E+00
 1140.0 3.60E-17 2.02E-17 1.58E-17 0.00E+00 0.00E+00
 1144.0 4.20E-17 2.52E-17 1.68E-17 0.00E+00 0.00E+00
 1153.0 3.80E-17 2.20E-17 1.60E-17 0.00E+00 0.00E+00
 1158.0 4.40E-17 2.82E-17 1.58E-17 0.00E+00 0.00E+00
 1165.0 3.50E-17 1.99E-17 1.50E-17 0.00E+00 0.00E+00
 1168.0 3.90E-17 2.26E-17 1.64E-17 0.00E+00 0.00E+00
 1173.0 3.30E-17 1.91E-17 1.39E-17 0.00E+00 0.00E+00
 1175.0 4.20E-17 2.69E-17 1.51E-17 0.00E+00 0.00E+00
 1180.0 3.30E-17 2.11E-17 1.19E-17 0.00E+00 0.00E+00
 1185.2 3.25E-17 1.95E-17 1.30E-17 0.00E+00 0.00E+00
 1185.3 3.25E-17 3.25E-17 0.00E+00 0.00E+00 0.00E+00
 1192.0 3.20E-17 3.20E-17 0.00E+00 0.00E+00 0.00E+00
 1195.0 3.40E-17 3.40E-17 0.00E+00 0.00E+00 0.00E+00
 1200.0 2.80E-17 2.80E-17 0.00E+00 0.00E+00 0.00E+00
 1210.0 4.30E-17 4.30E-17 0.00E+00 0.00E+00 0.00E+00
 1212.0 2.30E-17 2.30E-17 0.00E+00 0.00E+00 0.00E+00
 1219.0 7.50E-17 7.50E-17 0.00E+00 0.00E+00 0.00E+00
 1222.0 1.30E-17 1.30E-17 0.00E+00 0.00E+00 0.00E+00
 1230.0 8.50E-17 8.50E-17 0.00E+00 0.00E+00 0.00E+00
 1242.0 1.90E-17 1.90E-17 0.00E+00 0.00E+00 0.00E+00
 1248.0 7.30E-17 7.30E-17 0.00E+00 0.00E+00 0.00E+00
 1259.0 9.00E-18 9.00E-18 0.00E+00 0.00E+00 0.00E+00
 1262.0 3.10E-17 3.10E-17 0.00E+00 0.00E+00 0.00E+00
 1265.0 1.70E-17 1.70E-17 0.00E+00 0.00E+00 0.00E+00
 1290.0 7.00E-17 7.00E-17 0.00E+00 0.00E+00 0.00E+00
 1295.0 2.80E-17 2.80E-17 0.00E+00 0.00E+00 0.00E+00
 1300.0 8.00E-17 8.00E-17 0.00E+00 0.00E+00 0.00E+00
 1305.0 1.30E-17 1.30E-17 0.00E+00 0.00E+00 0.00E+00
 1315.0 2.10E-17 2.10E-17 0.00E+00 0.00E+00 0.00E+00
 1320.0 1.70E-17 1.70E-17 0.00E+00 0.00E+00 0.00E+00
 1335.0 9.00E-17 9.00E-17 0.00E+00 0.00E+00 0.00E+00
 1337.0 2.10E-17 2.10E-17 0.00E+00 0.00E+00 0.00E+00
 1380.0 1.50E-17 1.50E-17 0.00E+00 0.00E+00 0.00E+00
 1390.0 9.50E-17 9.50E-17 0.00E+00 0.00E+00 0.00E+00
 1395.0 2.90E-17 2.90E-17 0.00E+00 0.00E+00 0.00E+00
 1410.0 1.60E-16 1.60E-16 0.00E+00 0.00E+00 0.00E+00
 1420.0 2.00E-17 2.00E-17 0.00E+00 0.00E+00 0.00E+00
 1430.0 6.50E-17 6.50E-17 0.00E+00 0.00E+00 0.00E+00
 1438.0 1.00E-17 1.00E-17 0.00E+00 0.00E+00 0.00E+00
 1443.0 1.80E-17 1.80E-17 0.00E+00 0.00E+00 0.00E+00
 1445.0 9.00E-18 9.00E-18 0.00E+00 0.00E+00 0.00E+00
 1465.0 3.30E-17 3.30E-17 0.00E+00 0.00E+00 0.00E+00
 1480.0 4.00E-18 4.00E-18 0.00E+00 0.00E+00 0.00E+00
 1485.0 2.50E-17 2.50E-17 0.00E+00 0.00E+00 0.00E+00
 1495.0 9.50E-18 9.50E-18 0.00E+00 0.00E+00 0.00E+00
 1500.0 6.50E-17 6.50E-17 0.00E+00 0.00E+00 0.00E+00
 1505.0 1.40E-17 1.40E-17 0.00E+00 0.00E+00 0.00E+00
 1515.0 3.20E-17 3.20E-17 0.00E+00 0.00E+00 0.00E+00
 1530.0 3.50E-18 3.50E-18 0.00E+00 0.00E+00 0.00E+00
 1545.0 4.50E-17 4.50E-17 0.00E+00 0.00E+00 0.00E+00
 1560.0 8.50E-19 8.50E-19 0.00E+00 0.00E+00 0.00E+00
 1580.0 1.00E-17 1.00E-17 0.00E+00 0.00E+00 0.00E+00
 1600.0 2.50E-19 2.50E-19 0.00E+00 0.00E+00 0.00E+00
 1610.0 4.00E-19 4.00E-19 0.00E+00 0.00E+00 0.00E+00
 1620.0 2.00E-19 2.00E-19 0.00E+00 0.00E+00 0.00E+00
 1700.0 3.50E-19 3.50E-19 0.00E+00 0.00E+00 0.00E+00
 1800.0 2.00E-18 2.00E-18 0.00E+00 0.00E+00 0.00E+00
 1900.0 6.00E-18 6.00E-18 0.00E+00 0.00E+00 0.00E+00
 1960.0 7.50E-18 7.50E-18 0.00E+00 0.00E+00 0.00E+00
 2000.0 6.00E-18 6.00E-18 0.00E+00 0.00E+00 0.00E+00
 2100.0 3.20E-18 3.20E-18 0.00E+00 0.00E+00 0.00E+00
 2200.0 1.35E-18 1.35E-18 0.00E+00 0.00E+00 0.00E+00
 2350.0 3.40E-19 3.40E-19 0.00E+00 0.00E+00 0.00E+00
 2500.0 2.00E-20 2.00E-20 0.00E+00 0.00E+00 0.00E+00
 2650.0 6.00E-22 6.00E-22 0.00E+00 0.00E+00 0.00E+00
 3160.0 1.00E-35 1.00E-35 0.00E+00 0.00E+00 0.00E+00
