 Lambda  Total   C+SO     O+CS     CO+S     S+CO     CS+O     COS+     CO/S1S   CS/O     CO/S1D   CS/O1D   CO/S    
    0.6 3.30E-22 1.65E-23 4.95E-24 5.61E-23 1.98E-22 6.60E-24 4.78E-23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
    1.1 2.80E-21 1.40E-22 4.20E-23 4.76E-22 1.68E-21 5.60E-23 4.06E-22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
    2.4 1.90E-20 9.50E-22 2.85E-22 3.23E-21 1.14E-20 3.80E-22 2.75E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
    5.0 1.30E-19 6.49E-21 1.95E-21 2.21E-20 7.80E-20 2.60E-21 1.88E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
    5.2 2.50E-20 1.25E-21 3.76E-22 4.25E-21 1.50E-20 5.01E-22 3.62E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.78E-36
    6.2 4.30E-20 2.15E-21 6.47E-22 7.31E-21 2.58E-20 8.61E-22 6.22E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   12.6 3.00E-19 1.50E-20 4.52E-21 5.09E-20 1.80E-19 6.02E-21 4.33E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   22.6 8.50E-19 4.23E-20 1.29E-20 1.44E-19 5.12E-19 1.71E-20 1.22E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   23.6 7.00E-19 3.48E-20 1.06E-20 1.19E-19 4.21E-19 1.41E-20 1.00E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.77E-35
   24.6 7.70E-19 3.83E-20 1.17E-20 1.31E-19 4.63E-19 1.55E-20 1.10E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   50.3 3.80E-18 1.88E-19 5.82E-20 6.43E-19 2.30E-18 7.70E-20 5.39E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   52.5 3.50E-18 1.73E-19 5.37E-20 5.92E-19 2.11E-18 7.10E-20 4.96E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   62.1 5.00E-18 2.46E-19 7.70E-20 8.45E-19 3.02E-18 1.02E-19 7.05E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   67.5 5.80E-18 2.85E-19 8.95E-20 9.80E-19 3.51E-18 1.18E-19 8.16E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   70.5 3.00E-18 1.48E-19 4.64E-20 5.07E-19 1.82E-18 6.11E-20 4.21E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   73.5 1.00E-18 4.91E-20 1.55E-20 1.69E-19 6.06E-19 2.04E-20 1.40E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  121.7 2.80E-18 1.36E-19 4.42E-20 4.71E-19 1.71E-18 5.78E-20 3.84E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  248.0 9.75E-20 4.59E-21 1.62E-21 1.62E-20 6.04E-20 2.08E-21 1.26E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  253.0 8.20E-20 3.44E-21 1.56E-21 1.30E-20 5.17E-20 2.21E-21 1.01E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  258.0 9.20E-20 3.68E-21 1.84E-21 1.47E-20 5.69E-20 2.02E-21 1.29E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  264.0 1.00E-19 3.89E-21 1.81E-21 1.63E-20 6.24E-20 2.00E-21 1.36E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  270.0 1.02E-19 4.18E-21 2.26E-21 1.55E-20 6.46E-20 1.82E-21 1.37E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  276.0 9.38E-20 3.60E-21 1.21E-21 1.46E-20 5.96E-20 1.94E-21 1.29E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  282.0 9.93E-20 3.97E-21 1.89E-21 1.54E-20 6.26E-20 1.89E-21 1.36E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  288.0 9.66E-20 3.46E-21 1.76E-21 1.56E-20 6.11E-20 1.93E-21 1.28E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  295.0 1.10E-19 3.61E-21 1.44E-21 1.79E-20 7.02E-20 2.43E-21 1.44E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  302.0 1.05E-19 3.46E-21 1.63E-21 1.57E-20 6.72E-20 2.36E-21 1.46E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  310.0 1.08E-19 4.19E-21 1.64E-21 1.54E-20 6.83E-20 3.00E-21 1.54E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.16E-23
  318.0 1.12E-19 4.32E-21 1.44E-21 1.64E-20 7.16E-20 2.97E-21 1.53E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  326.0 1.10E-19 4.07E-21 1.09E-21 1.54E-20 7.00E-20 3.09E-21 1.64E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  335.0 1.14E-19 4.22E-21 1.09E-21 1.45E-20 7.35E-20 3.47E-21 1.72E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  344.0 1.20E-19 4.40E-21 1.20E-21 1.46E-20 7.84E-20 3.76E-21 1.76E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  354.0 1.28E-19 4.57E-21 1.01E-21 1.46E-20 8.40E-20 3.74E-21 2.01E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.56E-23
