 Lambda  Total   S/O      SO+     
    0.6 3.25E-22 0.00E+00 3.25E-22
    1.2 2.76E-21 0.00E+00 2.76E-21
    2.4 1.88E-20 0.00E+00 1.88E-20
    6.2 3.72E-20 0.00E+00 3.72E-20
   12.6 2.61E-19 0.00E+00 2.61E-19
   23.6 6.68E-19 0.00E+00 6.68E-19
   24.6 7.65E-19 0.00E+00 7.65E-19
   62.1 4.75E-18 0.00E+00 4.75E-18
   67.5 5.62E-18 0.00E+00 5.62E-18
   70.5 2.93E-18 0.00E+00 2.93E-18
   73.5 8.37E-19 0.00E+00 8.37E-19
  121.7 2.29E-18 0.00E+00 2.29E-18
  200.0 6.00E-18 0.00E+00 6.00E-18
  300.0 6.00E-18 0.00E+00 6.00E-18
  400.0 1.20E-17 0.00E+00 1.20E-17
  500.0 2.00E-17 0.00E+00 2.00E-17
  600.0 3.70E-17 0.00E+00 3.70E-17
  700.0 3.90E-17 0.00E+00 3.90E-17
  800.0 2.00E-17 0.00E+00 2.00E-17
 1205.0 1.55E-17 0.00E+00 1.55E-17
 1206.0 1.55E-17 1.55E-17 0.00E+00
 1900.0 8.00E-18 8.00E-18 0.00E+00
 1910.0 1.05E-17 1.05E-17 0.00E+00
 1920.0 1.10E-17 1.10E-17 0.00E+00
 1925.0 1.35E-17 1.35E-17 0.00E+00
 1930.0 1.40E-17 1.40E-17 0.00E+00
 1935.0 8.00E-18 8.00E-18 0.00E+00
 1940.0 1.45E-17 1.45E-17 0.00E+00
 1942.5 8.50E-18 8.50E-18 0.00E+00
 1945.0 1.25E-17 1.25E-17 0.00E+00
 1947.5 9.00E-18 9.00E-18 0.00E+00
 1950.0 1.60E-17 1.60E-17 0.00E+00
 1955.0 1.10E-17 1.10E-17 0.00E+00
 1957.5 1.65E-17 1.65E-17 0.00E+00
 1960.0 1.05E-17 1.05E-17 0.00E+00
 1962.5 1.55E-17 1.55E-17 0.00E+00
 1967.5 1.20E-17 1.20E-17 0.00E+00
 1970.0 1.80E-17 1.80E-17 0.00E+00
 1975.0 1.10E-17 1.10E-17 0.00E+00
 1977.5 1.90E-17 1.90E-17 0.00E+00
 1982.5 1.20E-17 1.20E-17 0.00E+00
 1985.0 1.90E-17 1.90E-17 0.00E+00
 1995.0 8.00E-18 8.00E-18 0.00E+00
 2000.0 2.73E-17 2.73E-17 0.00E+00
 2007.0 1.10E-17 1.10E-17 0.00E+00
 2014.0 6.00E-18 6.00E-18 0.00E+00
 2020.0 2.76E-17 2.76E-17 0.00E+00
 2030.0 6.20E-18 6.20E-18 0.00E+00
 2036.0 5.50E-18 5.50E-18 0.00E+00
 2042.0 2.74E-17 2.74E-17 0.00E+00
 2045.0 5.00E-18 5.00E-18 0.00E+00
 2050.0 3.50E-18 3.50E-18 0.00E+00
 2052.0 2.74E-17 2.74E-17 0.00E+00
 2065.0 3.50E-18 3.50E-18 0.00E+00
 2072.0 2.60E-18 2.60E-18 0.00E+00
 2075.0 2.70E-17 2.70E-17 0.00E+00
 2085.0 4.00E-18 4.00E-18 0.00E+00
 2095.0 2.00E-18 2.00E-18 0.00E+00
 2098.0 2.25E-17 2.25E-17 0.00E+00
 2115.0 1.00E-18 1.00E-18 0.00E+00
 2122.0 6.20E-18 6.20E-18 0.00E+00
 2125.0 2.10E-17 2.10E-17 0.00E+00
 2135.0 2.40E-18 2.40E-18 0.00E+00
 2140.0 1.50E-18 1.50E-18 0.00E+00
 2145.0 1.78E-17 1.78E-17 0.00E+00
 2150.0 6.00E-18 6.00E-18 0.00E+00
 2165.0 1.00E-18 1.00E-18 0.00E+00
 2170.0 1.25E-17 1.25E-17 0.00E+00
 2190.0 1.00E-18 1.00E-18 0.00E+00
 2197.0 1.00E-18 1.00E-18 0.00E+00
 2200.0 8.00E-18 8.00E-18 0.00E+00
 2215.0 1.00E-24 1.00E-24 0.00E+00
 2230.0 5.20E-18 5.20E-18 0.00E+00
 2245.0 1.00E-24 1.00E-24 0.00E+00
 2260.0 2.00E-18 2.00E-18 0.00E+00
 2275.0 1.00E-24 1.00E-24 0.00E+00
 2285.0 1.00E-18 1.00E-18 0.00E+00
 2300.0 1.00E-24 1.00E-24 0.00E+00
 2314.0 1.00E-24 1.00E-24 0.00E+00
